日付,始値,高値,安値,終値,出来高,調整後終値,Unnamed: 7
2010年7月14日,9770,9830,9770,9830,384854,9830,nan
2010年7月15日,9730,9760,9690,9690,209117,9690,nan
2010年7月16日,9630,9660,9410,9440,397734,9440,nan
2010年7月20日,9290,9410,9270,9340,346100,9340,nan
2010年7月21日,9430,9430,9250,9300,287137,9300,nan
2010年7月22日,9260,9280,9200,9240,398419,9240,nan
2010年7月23日,9460,9500,9390,9460,394791,9460,nan
2010年7月26日,9550,9590,9510,9510,333065,9510,nan
2010年7月27日,9520,9560,9510,9520,361495,9520,nan
2010年7月28日,9650,9790,9650,9770,401200,9770,nan
2010年7月29日,9680,9760,9670,9710,134642,9710,nan
2010年7月30日,9680,9680,9520,9570,305826,9570,nan
2010年8月2日,9590,9710,9580,9590,304652,9590,nan
2010年8月3日,9750,9780,9650,9690,375550,9690,nan
2010年8月4日,9640,9640,9500,9510,447270,9510,nan
2010年8月5日,9690,9720,9600,9650,271706,9650,nan
2010年8月6日,9590,9690,9560,9680,133251,9680,nan
2010年8月9日,9540,9600,9530,9590,161384,9590,nan
2010年8月10日,9650,9690,9530,9560,176099,9560,nan
2010年8月11日,9450,9470,9300,9320,821875,9320,nan
2010年8月12日,9140,9240,9080,9230,884675,9230,nan
2010年8月13日,9240,9300,9180,9300,513397,9300,nan
2010年8月16日,9170,9240,9110,9210,326439,9210,nan
2010年8月17日,9110,9210,9100,9200,326306,9200,nan
2010年8月18日,9280,9300,9180,9260,423923,9260,nan
2010年8月19日,9260,9400,9260,9400,486486,9400,nan
2010年8月20日,9240,9310,9180,9190,611573,9190,nan
2010年8月23日,9170,9200,9110,9120,370852,9120,nan
2010年8月24日,9050,9100,8990,8990,907107,8990,nan
2010年8月25日,8920,8970,8820,8850,935101,8850,nan
2010年8月26日,8930,8940,8850,8910,877792,8910,nan
2010年8月27日,8830,9050,8830,9010,541380,9010,nan
2010年8月30日,9180,9310,9140,9150,652951,9150,nan
2010年8月31日,9020,9030,8820,8830,737957,8830,nan
2010年9月1日,8850,8970,8820,8960,448419,8960,nan
2010年9月2日,9110,9130,8980,9060,592903,9060,nan
2010年9月3日,9130,9170,9070,9130,376858,9130,nan
2010年9月6日,9230,9340,9200,9310,630397,9310,nan
2010年9月7日,9260,9340,9230,9250,318667,9250,nan
2010年9月8日,9110,9130,9020,9050,502948,9050,nan
2010年9月9日,9150,9170,9090,9110,347686,9110,nan
2010年9月10日,9180,9320,9160,9250,477317,9250,nan
2010年9月13日,9370,9430,9330,9350,452816,9350,nan
2010年9月14日,9350,9360,9280,9350,466691,9350,nan
2010年9月15日,9260,9620,9230,9540,1845191,9540,nan
2010年9月16日,9660,9660,9510,9520,464420,9520,nan
2010年9月17日,9630,9680,9580,9670,687721,9670,nan
2010年9月21日,9710,9730,9610,9620,277303,9620,nan
2010年9月22日,9580,9650,9570,9600,582167,9600,nan
2010年9月24日,9450,9640,9440,9490,1052797,9490,nan
2010年9月27日,9580,9640,9570,9620,370606,9620,nan
2010年9月28日,9600,9640,9550,9570,427574,9570,nan
2010年9月29日,9610,9700,9590,9660,803764,9660,nan
2010年9月30日,9650,9660,9460,9470,402841,9470,nan
2010年10月1日,9560,9560,9450,9470,392806,9470,nan
2010年10月4日,9490,9610,9440,9450,376912,9450,nan
2010年10月5日,9410,9630,9410,9620,545413,9620,nan
2010年10月6日,9680,9790,9660,9770,854386,9770,nan
2010年10月7日,9750,9810,9740,9760,463694,9760,nan
2010年10月8日,9730,9760,9660,9680,266563,9680,nan
2010年10月12日,9740,9740,9470,9490,557679,9490,nan
2010年10月13日,9560,9600,9480,9500,508667,9500,nan
2010年10月14日,9600,9710,9570,9670,697657,9670,nan
2010年10月15日,9630,9640,9560,9610,287650,9610,nan
2010年10月18日,9620,9650,9560,9570,250026,9570,nan
2010年10月19日,9580,9660,9570,9610,250692,9610,nan
2010年10月20日,9500,9500,9400,9460,677785,9460,nan
2010年10月21日,9550,9580,9410,9460,900355,9460,nan
2010年10月22日,9490,9540,9480,9520,190298,9520,nan
2010年10月25日,9520,9540,9470,9500,194802,9500,nan
2010年10月26日,9470,9550,9450,9460,553570,9460,nan
2010年10月27日,9530,9540,9410,9490,587938,9490,nan
2010年10月28日,9450,9510,9440,9450,283318,9450,nan
2010年10月29日,9410,9420,9260,9280,1063599,9280,nan
2010年11月1日,9260,9350,9220,9250,568870,9250,nan
2010年11月2日,9230,9260,9210,9250,342221,9250,nan
2010年11月4日,9380,9460,9370,9450,544234,9450,nan
2010年11月5日,9600,9770,9600,9730,1102779,9730,nan
2010年11月8日,9790,9830,9770,9800,492650,9800,nan
2010年11月9日,9760,9810,9740,9770,354332,9770,nan
2010年11月10日,9840,9930,9830,9910,883110,9910,nan
2010年11月11日,9970,9980,9920,9940,550837,9940,nan
2010年11月12日,9900,9940,9810,9820,394109,9820,nan
2010年11月15日,9910,9930,9830,9920,627232,9920,nan
2010年11月16日,9980,10000,9860,9860,512854,9860,nan
2010年11月17日,9810,9920,9790,9920,313743,9920,nan
2010年11月18日,9910,10100,9880,10060,674185,10060,nan
2010年11月19日,10210,10230,10100,10140,651933,10140,nan
2010年11月22日,10230,10250,10180,10200,617373,10200,nan
2010年11月24日,10020,10160,10000,10140,812805,10140,nan
2010年11月25日,10200,10210,10130,10170,489718,10170,nan
2010年11月26日,10180,10220,10130,10150,293280,10150,nan
2010年11月29日,10180,10240,10130,10220,597940,10220,nan
2010年11月30日,10170,10200,10020,10040,967778,10040,nan
2010年12月1日,10030,10100,10000,10100,397332,10100,nan
2010年12月2日,10270,10280,10230,10250,559465,10250,nan
2010年12月3日,10330,10340,10240,10280,316393,10280,nan
2010年12月6日,10260,10270,10230,10260,315045,10260,nan
2010年12月7日,10250,10260,10180,10240,277438,10240,nan
2010年12月8日,10290,10350,10280,10320,419952,10320,nan
2010年12月9日,10370,10390,10330,10370,409961,10370,nan
2010年12月10日,10340,10420,10280,10320,549665,10320,nan
2010年12月13日,10310,10380,10290,10380,199208,10380,nan
2010年12月14日,10370,10410,10350,10400,320774,10400,nan
2010年12月15日,10410,10430,10370,10400,196600,10400,nan
2010年12月16日,10410,10440,10370,10400,268083,10400,nan
2010年12月17日,10400,10420,10370,10390,159345,10390,nan
2010年12月20日,10390,10390,10270,10320,195868,10320,nan
2010年12月21日,10360,10460,10360,10450,440909,10450,nan
2010年12月22日,10450,10490,10410,10430,430463,10430,nan
2010年12月24日,10360,10380,10350,10380,226336,10380,nan
2010年12月27日,10390,10470,10380,10450,253551,10450,nan
2010年12月28日,10420,10440,10390,10410,174051,10410,nan
2010年12月29日,10390,10450,10380,10450,223442,10450,nan
2010年12月30日,10410,10420,10300,10310,513886,10310,nan
2011年1月4日,10440,10520,10420,10470,533091,10470,nan
2011年1月5日,10480,10520,10460,10470,240326,10470,nan
2011年1月6日,10590,10630,10590,10620,595830,10620,nan
2011年1月7日,10590,10660,10590,10660,198299,10660,nan
2011年1月11日,10560,10640,10560,10620,341334,10620,nan
2011年1月12日,10650,10680,10600,10610,403656,10610,nan
2011年1月13日,10700,10720,10660,10660,323622,10660,nan
2011年1月14日,10670,10680,10590,10610,283112,10610,nan
2011年1月17日,10660,10670,10580,10610,233116,10610,nan
2011年1月18日,10560,10650,10550,10610,280497,10610,nan
2011年1月19日,10650,10680,10630,10670,200137,10670,nan
2011年1月20日,10590,10610,10520,10540,450226,10540,nan
2011年1月21日,10580,10580,10360,10370,563085,10370,nan
2011年1月24日,10410,10450,10380,10430,288259,10430,nan
2011年1月25日,10460,10580,10450,10560,452707,10560,nan
2011年1月26日,10520,10540,10490,10520,303389,10520,nan
2011年1月27日,10560,10590,10520,10560,279552,10560,nan
2011年1月28日,10570,10580,10430,10480,361355,10480,nan
2011年1月31日,10320,10370,10280,10340,457068,10340,nan
2011年2月1日,10380,10400,10340,10360,286078,10360,nan
2011年2月2日,10480,10580,10460,10560,528149,10560,nan
2011年2月3日,10530,10550,10510,10540,284078,10540,nan
2011年2月4日,10630,10680,10630,10640,379773,10640,nan
2011年2月7日,10740,10750,10670,10690,258465,10690,nan
2011年2月8日,10740,10750,10710,10720,231994,10720,nan
2011年2月9日,10780,10800,10690,10720,479845,10720,nan
2011年2月10日,10690,10730,10660,10720,211303,10720,nan
2011年2月14日,10800,10830,10770,10830,617498,10830,nan
2011年2月15日,10840,10860,10810,10850,408665,10850,nan
2011年2月16日,10860,10950,10850,10910,478073,10910,nan
2011年2月17日,10970,11000,10920,10940,283199,10940,nan
2011年2月18日,10940,10960,10910,10960,328266,10960,nan
2011年2月21日,10920,10970,10890,10970,315669,10970,nan
2011年2月22日,10850,10860,10730,10770,590103,10770,nan
2011年2月23日,10690,10770,10650,10670,443395,10670,nan
2011年2月24日,10640,10650,10530,10570,540308,10570,nan
2011年2月25日,10590,10640,10560,10600,353977,10600,nan
2011年2月28日,10600,10730,10550,10720,256052,10720,nan
2011年3月1日,10780,10860,10770,10850,397685,10850,nan
2011年3月2日,10710,10730,10590,10600,615079,10600,nan
2011年3月3日,10620,10700,10620,10700,340381,10700,nan
2011年3月4日,10860,10880,10770,10790,822791,10790,nan
2011年3月7日,10720,10720,10580,10650,585725,10650,nan
2011年3月8日,10610,10670,10610,10640,273431,10640,nan
2011年3月9日,10710,10770,10670,10700,559664,10700,nan
2011年3月10日,10650,10650,10510,10540,664503,10540,nan
2011年3月11日,10470,10490,10340,10390,742871,10390,nan
2011年3月14日,9660,9940,9630,9680,1685985,9680,nan
2011年3月15日,9340,9410,8180,8950,2469541,8950,nan
2011年3月16日,9130,9260,8940,9190,1913232,9190,nan
2011年3月17日,8960,9200,8620,9130,1417475,9130,nan
2011年3月18日,9280,9390,9200,9300,1289884,9300,nan
2011年3月22日,9650,9730,9580,9730,912878,9730,nan
2011年3月23日,9720,9720,9490,9570,901703,9570,nan
2011年3月24日,9560,9620,9520,9530,547823,9530,nan
2011年3月25日,9670,9690,9570,9640,475499,9640,nan
2011年3月28日,9650,9650,9510,9590,410465,9590,nan
2011年3月29日,9510,9690,9500,9650,616887,9650,nan
2011年3月30日,9700,9890,9660,9890,674916,9890,nan
2011年3月31日,9950,9950,9840,9910,491807,9910,nan
2011年4月1日,9930,10010,9880,9890,747475,9890,nan
2011年4月4日,9940,9990,9890,9890,464945,9890,nan
2011年4月5日,9920,9920,9750,9800,408244,9800,nan
2011年4月6日,9850,9860,9740,9770,264786,9770,nan
2011年4月7日,9840,9870,9760,9780,304344,9780,nan
2011年4月8日,9740,9990,9720,9950,449510,9950,nan
2011年4月11日,9900,9960,9880,9900,462881,9900,nan
2011年4月12日,9790,9790,9700,9730,469191,9730,nan
2011年4月13日,9710,9840,9700,9840,382362,9840,nan
2011年4月14日,9750,9860,9740,9820,473974,9820,nan
2011年4月15日,9830,9840,9750,9760,161566,9760,nan
2011年4月18日,9780,9800,9720,9740,194149,9740,nan
2011年4月19日,9640,9670,9590,9630,408177,9630,nan
2011年4月20日,9730,9820,9700,9800,357537,9800,nan
2011年4月21日,9870,9910,9820,9850,391997,9850,nan
2011年4月22日,9810,9920,9800,9880,382285,9880,nan
2011年4月25日,9880,9930,9850,9850,144196,9850,nan
2011年4月26日,9820,9820,9720,9730,284067,9730,nan
2011年4月27日,9820,9910,9810,9880,415795,9880,nan
2011年4月28日,9920,10040,9900,10040,875438,10040,nan
2011年5月2日,10150,10210,10120,10210,583662,10210,nan
2011年5月6日,9950,10060,9950,10050,278034,10050,nan
2011年5月9日,10070,10090,9960,10000,309744,10000,nan
2011年5月10日,10000,10040,9950,10020,358188,10020,nan
2011年5月11日,10110,10120,10030,10060,252434,10060,nan
2011年5月12日,9950,10030,9890,9900,572794,9900,nan
2011年5月13日,9940,9940,9730,9860,424518,9860,nan
2011年5月16日,9770,9780,9740,9770,467910,9770,nan
2011年5月17日,9700,9790,9690,9760,316745,9760,nan
2011年5月18日,9800,9880,9780,9850,308922,9850,nan
2011年5月19日,9890,9920,9790,9800,312801,9800,nan
2011年5月20日,9810,9860,9790,9790,124583,9790,nan
2011年5月23日,9730,9740,9620,9660,658851,9660,nan
2011年5月24日,9620,9680,9600,9670,297176,9670,nan
2011年5月25日,9690,9700,9600,9610,299603,9610,nan
2011年5月26日,9690,9760,9680,9760,409133,9760,nan
2011年5月27日,9720,9780,9690,9730,279684,9730,nan
2011年5月30日,9680,9730,9640,9710,246714,9710,nan
2011年5月31日,9680,9890,9680,9880,464333,9880,nan
2011年6月1日,9890,9910,9850,9890,365246,9890,nan
2011年6月2日,9720,9760,9700,9750,444519,9750,nan
2011年6月3日,9740,9790,9680,9700,452206,9700,nan
2011年6月6日,9650,9680,9550,9590,662458,9590,nan
2011年6月7日,9570,9650,9550,9650,284402,9650,nan
2011年6月8日,9620,9660,9590,9650,322923,9650,nan
2011年6月9日,9600,9670,9580,9670,232252,9670,nan
2011年6月10日,9710,9810,9680,9690,707112,9690,nan
2011年6月13日,9580,9650,9580,9630,769816,9630,nan
2011年6月14日,9650,9750,9620,9740,358930,9740,nan
2011年6月15日,9780,9790,9710,9780,510116,9780,nan
2011年6月16日,9680,9680,9600,9610,533317,9610,nan
2011年6月17日,9630,9650,9510,9530,607996,9530,nan
2011年6月20日,9570,9610,9530,9530,296838,9530,nan
2011年6月21日,9620,9650,9570,9650,308068,9650,nan
2011年6月22日,9710,9840,9710,9800,660877,9800,nan
2011年6月23日,9740,9830,9740,9800,215284,9800,nan
2011年6月24日,9820,9880,9790,9870,219062,9870,nan
2011年6月27日,9820,9820,9760,9780,212582,9780,nan
2011年6月28日,9870,9900,9820,9830,451199,9830,nan
2011年6月29日,9960,9990,9920,9980,510259,9980,nan
2011年6月30日,10030,10040,9980,10010,438255,10010,nan
2011年7月1日,10060,10100,10040,10050,324690,10050,nan
2011年7月4日,10160,10190,10130,10150,495036,10150,nan
2011年7月5日,10160,10180,10140,10150,337880,10150,nan
2011年7月6日,10070,10140,10030,10140,479212,10140,nan
2011年7月7日,10100,10150,10080,10140,467479,10140,nan
2011年7月8日,10210,10250,10180,10210,546722,10210,nan
2011年7月11日,10130,10170,10110,10150,165773,10150,nan
2011年7月12日,10010,10030,9970,10000,333011,10000,nan
2011年7月13日,9940,10040,9940,10020,360540,10020,nan
2011年7月14日,9980,10060,9940,10000,178521,10000,nan
2011年7月15日,9990,10040,9980,10040,133579,10040,nan
2011年7月19日,9980,10000,9940,9950,150115,9950,nan
2011年7月20日,10060,10100,10040,10050,418660,10050,nan
2011年7月21日,10080,10090,10030,10060,132020,10060,nan
