日付,始値,高値,安値,終値,出来高,調整後終値,Unnamed: 7
2011年11月29日,8480,8600,8470,8600,651349,8600,nan
2011年11月30日,8520,8550,8480,8520,419040,8520,nan
2011年12月1日,8760,8780,8700,8720,823901,8720,nan
2011年12月2日,8730,8760,8710,8750,179533,8750,nan
2011年12月5日,8820,8830,8790,8790,324144,8790,nan
2011年12月6日,8770,8790,8680,8690,174242,8690,nan
2011年12月7日,8730,8840,8730,8810,459441,8810,nan
2011年12月8日,8770,8800,8740,8770,83727,8770,nan
2011年12月9日,8670,8700,8620,8650,185906,8650,nan
2011年12月12日,8780,8800,8750,8760,649142,8760,nan
2011年12月13日,8640,8710,8640,8670,608444,8670,nan
2011年12月14日,8630,8650,8600,8640,388750,8640,nan
2011年12月15日,8540,8560,8490,8510,415495,8510,nan
2011年12月16日,8540,8550,8510,8540,277594,8540,nan
2011年12月19日,8490,8490,8390,8410,287883,8410,nan
2011年12月20日,8450,8480,8430,8470,114345,8470,nan
2011年12月21日,8570,8590,8550,8560,224963,8560,nan
2011年12月22日,8540,8550,8500,8500,105710,8500,nan
2011年12月26日,8650,8650,8590,8600,588518,8600,nan
2011年12月27日,8550,8590,8540,8590,55615,8590,nan
2011年12月28日,8560,8590,8540,8550,113704,8550,nan
2011年12月29日,8500,8530,8460,8530,142046,8530,nan
2011年12月30日,8560,8580,8540,8570,130307,8570,nan
2012年1月4日,8660,8700,8660,8660,348945,8660,nan
2012年1月5日,8620,8640,8600,8630,220179,8630,nan
2012年1月6日,8610,8620,8470,8510,284622,8510,nan
2012年1月10日,8530,8570,8530,8540,245405,8540,nan
2012年1月11日,8570,8580,8550,8550,151214,8550,nan
2012年1月12日,8540,8550,8490,8500,79026,8500,nan
2012年1月13日,8570,8640,8570,8630,350317,8630,nan
2012年1月16日,8530,8530,8470,8490,290006,8490,nan
2012年1月17日,8540,8600,8530,8600,217002,8600,nan
2012年1月18日,8590,8730,8570,8660,213576,8660,nan
2012年1月19日,8710,8800,8710,8770,460123,8770,nan
2012年1月20日,8860,8920,8850,8860,604198,8860,nan
2012年1月23日,8890,8920,8870,8900,168079,8900,nan
2012年1月24日,8930,8950,8890,8900,133725,8900,nan
2012年1月25日,8950,9040,8940,9010,267818,9010,nan
2012年1月26日,9010,9030,8960,8980,247339,8980,nan
2012年1月27日,8970,9020,8940,8970,385745,8970,nan
2012年1月30日,8940,8970,8900,8930,215530,8930,nan
2012年1月31日,8920,8960,8910,8950,204293,8950,nan
2012年2月1日,8910,8960,8910,8920,402351,8920,nan
2012年2月2日,8990,9030,8990,9010,426484,9010,nan
2012年2月3日,8970,9000,8950,8970,166422,8970,nan
2012年2月6日,9080,9090,9040,9060,282701,9060,nan
2012年2月7日,9040,9060,9010,9030,183383,9030,nan
2012年2月8日,9080,9140,9080,9140,448416,9140,nan
2012年2月9日,9120,9150,9070,9130,283116,9130,nan
2012年2月10日,9150,9150,9080,9100,140530,9100,nan
2012年2月13日,9080,9150,9070,9140,145720,9140,nan
2012年2月14日,9120,9210,9100,9180,287767,9180,nan
2012年2月15日,9240,9450,9240,9390,804884,9390,nan
2012年2月16日,9370,9440,9350,9360,264898,9360,nan
2012年2月17日,9540,9570,9510,9530,466189,9530,nan
2012年2月20日,9680,9700,9600,9610,558440,9610,nan
2012年2月21日,9600,9660,9580,9630,275294,9630,nan
2012年2月22日,9620,9700,9580,9700,363927,9700,nan
2012年2月23日,9700,9750,9650,9720,255844,9720,nan
2012年2月24日,9730,9790,9710,9780,433303,9780,nan
2012年2月27日,9860,9890,9750,9760,530328,9760,nan
2012年2月28日,9700,9910,9670,9910,403776,9910,nan
2012年2月29日,9920,10020,9850,9850,685820,9850,nan
2012年3月1日,9920,10010,9820,9850,459531,9850,nan
2012年3月2日,9940,9960,9870,9930,257516,9930,nan
2012年3月5日,9910,9940,9820,9840,291549,9840,nan
2012年3月6日,9850,9890,9750,9790,452044,9790,nan
2012年3月7日,9660,9750,9660,9710,521019,9710,nan
2012年3月8日,9820,9910,9810,9910,391816,9910,nan
2012年3月9日,10030,10170,10000,10040,1052715,10040,nan
2012年3月12日,10190,10190,10030,10030,372076,10030,nan
2012年3月13日,10080,10160,10030,10060,450033,10060,nan
2012年3月14日,10230,10270,10210,10260,466840,10260,nan
2012年3月15日,10270,10310,10230,10280,330632,10280,nan
2012年3月16日,10260,10300,10240,10290,213597,10290,nan
2012年3月19日,10310,10330,10290,10310,111594,10310,nan
2012年3月21日,10270,10300,10230,10240,238768,10240,nan
2012年3月22日,10210,10300,10210,10270,141446,10270,nan
2012年3月23日,10160,10190,10150,10160,242336,10160,nan
2012年3月26日,10180,10210,10160,10170,438548,10170,nan
2012年3月27日,10310,10430,10300,10430,654176,10430,nan
2012年3月28日,10400,10440,10360,10400,401304,10400,nan
2012年3月29日,10380,10390,10320,10360,259477,10360,nan
2012年3月30日,10340,10360,10270,10320,263403,10320,nan
2012年4月2日,10410,10430,10340,10350,264038,10350,nan
2012年4月3日,10330,10330,10280,10300,153417,10300,nan
2012年4月4日,10300,10310,10050,10050,710886,10050,nan
2012年4月5日,9990,10050,9920,10010,460663,10010,nan
2012年4月6日,9940,9980,9890,9900,262214,9900,nan
2012年4月9日,9780,9850,9770,9790,430618,9790,nan
2012年4月10日,9810,9890,9740,9770,419757,9770,nan
2012年4月11日,9620,9730,9610,9690,630158,9690,nan
2012年4月12日,9720,9780,9680,9760,328542,9760,nan
2012年4月13日,9880,9930,9850,9880,447631,9880,nan
2012年4月16日,9740,9760,9690,9700,282512,9700,nan
2012年4月17日,9710,9750,9680,9680,205117,9680,nan
2012年4月18日,9850,9920,9830,9890,325163,9890,nan
2012年4月19日,9830,9850,9800,9830,153945,9830,nan
2012年4月20日,9810,9820,9760,9790,99565,9790,nan
2012年4月23日,9820,9880,9740,9780,104556,9780,nan
2012年4月24日,9710,9740,9650,9710,286643,9710,nan
2012年4月25日,9800,9820,9760,9780,225591,9780,nan
2012年4月26日,9860,9870,9760,9780,267638,9780,nan
2012年4月27日,9800,9930,9700,9750,551748,9750,nan
2012年5月1日,9680,9700,9560,9570,375159,9570,nan
2012年5月2日,9620,9650,9580,9610,159940,9610,nan
2012年5月7日,9370,9400,9330,9340,642550,9340,nan
2012年5月8日,9420,9440,9390,9400,181043,9400,nan
2012年5月9日,9330,9330,9250,9280,573827,9280,nan
2012年5月10日,9230,9300,9210,9270,362589,9270,nan
2012年5月11日,9240,9280,9150,9160,377078,9160,nan
2012年5月14日,9210,9250,9170,9200,106831,9200,nan
2012年5月15日,9120,9150,9070,9150,348361,9150,nan
2012年5月16日,9100,9110,8980,8980,342568,8980,nan
2012年5月17日,9020,9100,8980,9080,198298,9080,nan
2012年5月18日,8930,8930,8800,8830,605713,8830,nan
2012年5月21日,8830,8890,8820,8850,122748,8850,nan
2012年5月22日,8940,8960,8910,8950,123511,8950,nan
2012年5月23日,8920,8930,8750,8790,305842,8790,nan
2012年5月24日,8770,8820,8710,8780,364072,8780,nan
2012年5月25日,8820,8830,8760,8790,127677,8790,nan
2012年5月28日,8810,8830,8780,8800,101168,8800,nan
2012年5月29日,8790,8870,8730,8870,230348,8870,nan
2012年5月30日,8860,8870,8780,8830,323859,8830,nan
2012年5月31日,8710,8750,8660,8740,228979,8740,nan
2012年6月1日,8680,8700,8630,8640,304237,8640,nan
2012年6月4日,8490,8500,8440,8500,411789,8500,nan
2012年6月5日,8540,8610,8510,8610,195978,8610,nan
2012年6月6日,8660,8760,8620,8750,231659,8750,nan
2012年6月7日,8880,8880,8810,8830,171294,8830,nan
2012年6月8日,8840,8840,8630,8650,216281,8650,nan
2012年6月11日,8820,8870,8800,8830,609818,8830,nan
2012年6月12日,8670,8790,8660,8750,272897,8750,nan
2012年6月13日,8790,8830,8760,8790,74352,8790,nan
2012年6月14日,8730,8800,8730,8780,73781,8780,nan
2012年6月15日,8830,8840,8760,8780,175850,8780,nan
2012年6月18日,8970,8980,8920,8940,261456,8940,nan
2012年6月19日,8920,8920,8840,8890,175234,8890,nan
2012年6月20日,8930,8980,8920,8970,133936,8970,nan
2012年6月21日,9010,9070,9000,9040,188879,9040,nan
2012年6月22日,8930,9050,8930,9020,267603,9020,nan
2012年6月25日,9050,9050,8940,8940,96692,8940,nan
2012年6月26日,8890,8920,8830,8900,196715,8900,nan
2012年6月27日,8900,8960,8870,8960,138930,8960,nan
2012年6月28日,9030,9110,9020,9090,138693,9090,nan
2012年6月29日,9040,9270,9020,9230,447943,9230,nan
2012年7月2日,9310,9320,9220,9250,295872,9250,nan
2012年7月3日,9260,9320,9240,9290,466499,9290,nan
2012年7月4日,9210,9220,9180,9190,196796,9190,nan
2012年7月5日,9170,9220,9150,9160,81390,9160,nan
2012年7月6日,9150,9160,9060,9110,129745,9110,nan
2012年7月9日,9010,9040,8970,8970,402005,8970,nan
2012年7月10日,9000,9050,8930,8930,92663,8930,nan
2012年7月11日,8900,8940,8880,8940,127061,8940,nan
2012年7月12日,8950,8950,8780,8790,285685,8790,nan
2012年7月13日,8760,8840,8760,8780,199823,8780,nan
2012年7月17日,8800,8890,8800,8840,124607,8840,nan
2012年7月18日,8870,8890,8800,8820,90396,8820,nan
2012年7月19日,8880,8920,8850,8880,168116,8880,nan
2012年7月20日,8870,8870,8740,8760,128029,8760,nan
2012年7月23日,8670,8690,8580,8590,228478,8590,nan
2012年7月24日,8570,8600,8530,8550,132638,8550,nan
2012年7月25日,8490,8510,8410,8450,342625,8450,nan
2012年7月26日,8480,8530,8440,8530,236739,8530,nan
2012年7月27日,8650,8650,8590,8640,187490,8640,nan
2012年7月30日,8740,8760,8670,8700,101250,8700,nan
2012年7月31日,8680,8820,8660,8790,260620,8790,nan
2012年8月1日,8690,8740,8660,8720,86445,8720,nan
2012年8月2日,8740,8780,8720,8730,116070,8730,nan
2012年8月3日,8620,8640,8600,8630,92217,8630,nan
2012年8月6日,8760,8840,8760,8820,203855,8820,nan
2012年8月7日,8810,8900,8790,8890,235756,8890,nan
2012年8月8日,8970,9050,8930,8960,391113,8960,nan
2012年8月9日,8940,9080,8940,9060,260600,9060,nan
2012年8月10日,9020,9030,8930,8970,80431,8970,nan
2012年8月13日,8970,8980,8940,8960,79419,8960,nan
2012年8月14日,8970,9050,8970,9010,128502,9010,nan
2012年8月15日,9030,9040,8940,9000,63753,9000,nan
2012年8月16日,9040,9180,9040,9160,246175,9160,nan
2012年8月17日,9200,9270,9170,9250,405263,9250,nan
2012年8月20日,9290,9300,9220,9270,274928,9270,nan
2012年8月21日,9250,9270,9220,9250,101332,9250,nan
2012年8月22日,9230,9240,9150,9210,125960,9210,nan
2012年8月23日,9160,9270,9140,9240,146017,9240,nan
2012年8月24日,9140,9170,9130,9150,194154,9150,nan
2012年8月27日,9220,9240,9160,9180,92612,9180,nan
2012年8月28日,9210,9220,9070,9120,86188,9120,nan
2012年8月29日,9130,9170,9120,9160,73118,9160,nan
2012年8月30日,9140,9150,9040,9060,128267,9060,nan
2012年8月31日,8980,9030,8910,8940,378740,8940,nan
2012年9月3日,8930,8980,8840,8870,217011,8870,nan
2012年9月4日,8870,8880,8810,8870,201834,8870,nan
2012年9月5日,8850,8850,8750,8770,194756,8770,nan
2012年9月6日,8770,8780,8730,8770,113988,8770,nan
2012年9月7日,8950,8960,8890,8960,251818,8960,nan
2012年9月10日,8920,8960,8920,8960,152522,8960,nan
2012年9月11日,8890,8900,8860,8890,110348,8890,nan
2012年9月12日,8900,9050,8900,9050,279623,9050,nan
2012年9月13日,9050,9120,9010,9100,335753,9100,nan
2012年9月14日,9240,9290,9180,9240,380868,9240,nan
2012年9月18日,9250,9270,9200,9230,208795,9230,nan
2012年9月19日,9260,9380,9220,9330,579539,9330,nan
2012年9月20日,9250,9300,9150,9150,548141,9150,nan
2012年9月21日,9200,9240,9180,9210,151485,9210,nan
2012年9月24日,9160,9180,9120,9150,244482,9150,nan
2012年9月25日,9120,9200,9110,9180,381842,9180,nan
2012年9月26日,9090,9120,9040,9070,259595,9070,nan
2012年9月27日,9020,9120,9000,9120,200670,9120,nan
2012年9月28日,9130,9150,8990,9000,304488,9000,nan
2012年10月1日,8970,8990,8920,8950,110346,8950,nan
2012年10月2日,8970,9000,8920,8920,145585,8920,nan
2012年10月3日,8920,8960,8890,8910,193362,8910,nan
2012年10月4日,8940,9030,8890,8990,163376,8990,nan
2012年10月5日,9020,9060,8960,9060,150896,9060,nan
2012年10月9日,8990,9000,8920,8920,153792,8920,nan
2012年10月10日,8820,8820,8740,8760,423866,8760,nan
2012年10月11日,8690,8770,8670,8690,386426,8690,nan
2012年10月12日,8690,8740,8670,8700,239165,8700,nan
2012年10月15日,8690,8760,8650,8730,82102,8730,nan
2012年10月16日,8800,8860,8800,8860,126581,8860,nan
2012年10月17日,8930,9000,8910,8970,336606,8970,nan
2012年10月18日,9040,9150,9030,9140,509885,9140,nan
2012年10月19日,9120,9180,9090,9150,328438,9150,nan
2012年10月22日,9030,9190,9020,9170,149656,9170,nan
2012年10月23日,9220,9240,9120,9170,217986,9170,nan
2012年10月24日,9070,9200,9060,9110,296544,9110,nan
2012年10月25日,9110,9230,9100,9210,179386,9210,nan
2012年10月26日,9220,9240,9090,9100,157375,9100,nan
2012年10月29日,9120,9150,9060,9070,76759,9070,nan
2012年10月30日,9100,9160,8980,9000,258033,9000,nan
2012年10月31日,9080,9150,9060,9080,211406,9080,nan
2012年11月1日,9080,9140,9020,9120,284420,9120,nan
2012年11月2日,9210,9240,9190,9200,195271,9200,nan
2012年11月5日,9160,9200,9140,9180,79908,9180,nan
2012年11月6日,9150,9160,9120,9140,164147,9140,nan
2012年11月7日,9190,9200,9080,9120,226896,9120,nan
2012年11月8日,9020,9060,8960,9000,321289,9000,nan
2012年11月9日,8920,8940,8890,8920,288279,8920,nan
2012年11月12日,8870,8890,8830,8830,204883,8830,nan
2012年11月13日,8880,8890,8770,8830,266225,8830,nan
2012年11月14日,8830,8840,8810,8820,86137,8820,nan
2012年11月15日,8870,8980,8840,8980,446130,8980,nan
2012年11月16日,9060,9190,9050,9170,471541,9170,nan
2012年11月19日,9310,9350,9290,9290,469187,9290,nan
2012年11月20日,9350,9360,9270,9270,539135,9270,nan
2012年11月21日,9360,9420,9320,9390,773144,9390,nan
2012年11月22日,9500,9530,9460,9530,494066,9530,nan
2012年11月26日,9640,9660,9550,9560,501953,9560,nan
2012年11月27日,9530,9610,9530,9600,290902,9600,nan
2012年11月28日,9540,9570,9460,9470,386576,9470,nan
2012年11月29日,9520,9590,9510,9570,363636,9570,nan
2012年11月30日,9600,9660,9540,9630,321079,9630,nan
2012年12月3日,9640,9690,9610,9630,280774,9630,nan
2012年12月4日,9590,9620,9570,9580,385515,9580,nan
2012年12月5日,9550,9680,9540,9620,280955,9620,nan
2012年12月6日,9680,9730,9660,9700,435379,9700,nan
2012年12月7日,9710,9740,9680,9700,197076,9700,nan
2012年12月10日,9750,9750,9680,9700,139205,9700,nan
2012年12月11日,9690,9700,9650,9690,126105,9690,nan
2012年12月12日,9750,9770,9730,9750,238124,9750,nan
2012年12月13日,9840,9940,9840,9910,742494,9910,nan
2012年12月14日,9890,9950,9850,9940,439344,9940,nan
2012年12月17日,10090,10110,9990,10000,679567,10000,nan
2012年12月18日,10030,10140,10020,10110,642322,10110,nan
2012年12月19日,10220,10350,10180,10350,801369,10350,nan
2012年12月20日,10280,10330,10200,10220,522485,10220,nan
2012年12月21日,10330,10360,10100,10120,528967,10120,nan
2012年12月25日,10290,10310,10210,10250,416727,10250,nan
2012年12月26日,10310,10430,10290,10430,642681,10430,nan
2012年12月27日,10510,10580,10480,10540,375179,10540,nan
2012年12月28日,10610,10630,10570,10630,509163,10630,nan
2013年1月4日,10960,10960,10840,10880,917587,10880,nan
2013年1月7日,10920,10940,10780,10810,423505,10810,nan
2013年1月8日,10750,10800,10660,10670,431440,10670,nan
2013年1月9日,10580,10810,10570,10760,665765,10760,nan
2013年1月10日,10840,10880,10810,10840,231724,10840,nan
2013年1月11日,11020,11030,10940,11020,548282,11020,nan
2013年1月15日,11130,11160,11050,11090,418906,11090,nan
2013年1月16日,11030,11030,10780,10780,755169,10780,nan
2013年1月17日,10860,10890,10620,10820,503233,10820,nan
2013年1月18日,11030,11120,11000,11120,661536,11120,nan
2013年1月21日,11160,11160,10910,10930,1013221,10930,nan
2013年1月22日,10960,11060,10810,10910,1102359,10910,nan
2013年1月23日,10780,10860,10660,10670,442184,10670,nan
2013年1月24日,10650,10830,10630,10820,393353,10820,nan
2013年1月25日,11040,11140,11010,11130,1007135,11130,nan
2013年1月28日,11190,11210,11010,11020,960432,11020,nan
2013年1月29日,10930,11140,10930,11090,441547,11090,nan
2013年1月30日,11120,11320,11100,11320,601271,11320,nan
2013年1月31日,11260,11350,11200,11330,646565,11330,nan
2013年2月1日,11380,11450,11340,11400,559328,11400,nan
2013年2月4日,11480,11490,11400,11470,514801,11470,nan
2013年2月5日,11310,11390,11250,11270,898665,11270,nan
2013年2月6日,11500,11710,11490,11650,1156821,11650,nan
2013年2月7日,11560,11660,11490,11600,957144,11600,nan
2013年2月8日,11480,11510,11340,11380,1137070,11380,nan
2013年2月12日,11630,11670,11570,11570,768578,11570,nan
2013年2月13日,11550,11580,11400,11470,407059,11470,nan
2013年2月14日,11490,11570,11450,11530,535188,11530,nan
2013年2月15日,11450,11480,11270,11380,833782,11380,nan
2013年2月18日,11550,11650,11530,11620,874150,11620,nan
2013年2月19日,11560,11620,11550,11590,279035,11590,nan
2013年2月20日,11680,11730,11650,11680,493234,11680,nan
2013年2月21日,11620,11650,11510,11520,630096,11520,nan
2013年2月22日,11450,11620,11370,11620,642473,11620,nan
2013年2月25日,11810,11880,11770,11880,810569,11880,nan
2013年2月26日,11580,11740,11560,11630,1346184,11630,nan
2013年2月27日,11650,11650,11460,11470,818467,11470,nan
2013年2月28日,11640,11790,11630,11750,1048740,11750,nan
2013年3月1日,11720,11870,11690,11810,632253,11810,nan
2013年3月4日,11930,11990,11840,11860,533038,11860,nan
2013年3月5日,11960,12000,11890,11910,636424,11910,nan
2013年3月6日,12040,12160,12020,12160,1125843,12160,nan
2013年3月7日,12270,12300,12170,12190,685239,12190,nan
2013年3月8日,12330,12520,12310,12520,883907,12520,nan
2013年3月11日,12560,12640,12520,12580,920346,12580,nan
2013年3月12日,12690,12700,12550,12550,664470,12550,nan
2013年3月13日,12490,12580,12460,12480,709657,12480,nan
2013年3月14日,12560,12630,12480,12620,451743,12620,nan
2013年3月15日,12680,12800,12670,12800,659617,12800,nan
2013年3月18日,12570,12620,12460,12480,1250712,12480,nan
2013年3月19日,12660,12730,12650,12730,672876,12730,nan
2013年3月21日,12840,12890,12830,12870,665416,12870,nan
2013年3月22日,12730,12760,12580,12610,989119,12610,nan
2013年3月25日,12770,12840,12720,12810,883981,12810,nan
2013年3月26日,12710,12790,12670,12680,632817,12680,nan
2013年3月27日,12800,12840,12750,12840,421695,12840,nan
2013年3月28日,12770,12780,12600,12680,1097729,12680,nan
2013年3月29日,12720,12750,12640,12690,441949,12690,nan
2013年4月1日,12700,12710,12470,12510,804383,12510,nan
2013年4月2日,12350,12380,12100,12330,1061002,12330,nan
2013年4月3日,12520,12680,12460,12680,635435,12680,nan
2013年4月4日,12490,13040,12380,13010,1896908,13010,nan
2013年4月5日,13520,13560,13120,13140,2347829,13140,nan
2013年4月8日,13550,13570,13420,13540,906623,13540,nan
2013年4月9日,13650,13680,13490,13530,872086,13530,nan
2013年4月10日,13530,13660,13510,13630,646040,13630,nan
2013年4月11日,13780,13880,13720,13830,1002451,13830,nan
2013年4月12日,13790,13880,13740,13840,716402,13840,nan
2013年4月15日,13690,13750,13600,13670,743734,13670,nan
2013年4月16日,13350,13660,13310,13650,997104,13650,nan
2013年4月17日,13670,13750,13660,13740,606887,13740,nan
2013年4月18日,13620,13730,13550,13630,919289,13630,nan
2013年4月19日,13630,13710,13540,13710,615134,13710,nan
2013年4月22日,13910,13970,13880,13920,969765,13920,nan
2013年4月23日,13900,13930,13850,13870,413534,13870,nan
2013年4月24日,14050,14180,14040,14180,920562,14180,nan
2013年4月25日,14220,14340,14180,14270,808937,14270,nan
2013年4月26日,14330,14350,14210,14290,639161,14290,nan
2013年4月30日,14190,14250,14140,14210,539963,14210,nan
2013年5月1日,14180,14200,14140,14180,331769,14180,nan
2013年5月2日,14100,14140,13990,14060,745495,14060,nan
2013年5月7日,14440,14570,14410,14540,1266523,14540,nan
2013年5月8日,14570,14800,14560,14640,1048409,14640,nan
2013年5月9日,14730,14790,14560,14600,806832,14600,nan
2013年5月10日,14910,15030,14880,15030,1268417,15030,nan
2013年5月13日,15170,15240,15110,15200,1066452,15200,nan
2013年5月14日,15230,15230,15140,15190,655973,15190,nan
2013年5月15日,15390,15500,15390,15450,1096063,15450,nan
2013年5月16日,15570,15570,15270,15440,1507091,15440,nan
2013年5月17日,15330,15570,15280,15570,798140,15570,nan
2013年5月20日,15700,15790,15660,15770,662687,15770,nan
2013年5月21日,15680,15790,15660,15770,463184,15770,nan
2013年5月22日,15860,16120,15850,16050,1003738,16050,nan
2013年5月23日,16170,16360,14860,15000,3535702,15000,nan
2013年5月24日,15260,15400,14350,15010,3759896,15010,nan
2013年5月27日,14520,14690,14390,14450,1866768,14450,nan
2013年5月28日,14320,14780,14290,14700,1434224,14700,nan
2013年5月29日,14950,14950,14600,14620,1056879,14620,nan
2013年5月30日,14350,14460,13890,14040,1911259,14040,nan
2013年5月31日,14250,14290,14030,14100,1112329,14100,nan
2013年6月3日,13900,13900,13590,13650,1205268,13650,nan
2013年6月4日,13550,13980,13400,13980,1810685,13980,nan
2013年6月5日,13920,14100,13340,13360,1212512,13360,nan
2013年6月6日,13230,13590,13160,13170,1149428,13170,nan
2013年6月7日,13040,13460,12870,13080,2140921,13080,nan
2013年6月10日,13670,13940,13540,13930,887290,13930,nan
2013年6月11日,13890,13950,13620,13700,1472191,13700,nan
2013年6月12日,13420,13680,13330,13640,660739,13640,nan
2013年6月13日,13320,13320,12740,12750,1926182,12750,nan
2013年6月14日,13190,13260,12960,13070,1103839,13070,nan
2013年6月17日,12920,13420,12880,13420,708477,13420,nan
2013年6月18日,13350,13490,13250,13350,666508,13350,nan
2013年6月19日,13620,13650,13440,13590,596454,13590,nan
2013年6月20日,13420,13540,13300,13350,749831,13350,nan
2013年6月21日,13050,13720,13020,13710,872633,13710,nan
2013年6月24日,13810,13830,13360,13380,641938,13380,nan
2013年6月25日,13430,13580,13090,13360,547274,13360,nan
2013年6月26日,13550,13560,13120,13140,475481,13140,nan
2013年6月27日,13300,13610,13210,13610,724687,13610,nan
2013年6月28日,13710,14100,13700,14010,1171657,14010,nan
2013年7月1日,14140,14230,13920,14210,428713,14210,nan
2013年7月2日,14310,14500,14260,14470,832608,14470,nan
2013年7月3日,14520,14540,14340,14410,812119,14410,nan
2013年7月4日,14170,14290,14130,14190,401980,14190,nan
2013年7月5日,14340,14530,14330,14520,574651,14520,nan
2013年7月8日,14680,14700,14240,14290,1090614,14290,nan
2013年7月9日,14470,14680,14370,14650,674578,14650,nan
2013年7月10日,14640,14750,14460,14620,807641,14620,nan
2013年7月11日,14470,14690,14450,14670,486059,14670,nan
2013年7月12日,14670,14770,14610,14690,491301,14690,nan
2013年7月16日,14800,14840,14750,14790,352272,14790,nan
2013年7月17日,14680,14810,14640,14800,459133,14800,nan
2013年7月18日,14850,15030,14840,15000,578615,15000,nan
2013年7月19日,15110,15160,14600,14800,1334089,14800,nan
2013年7月22日,14990,14990,14710,14860,678741,14860,nan
2013年7月23日,14760,15030,14740,14990,635443,14990,nan
2013年7月24日,14920,14950,14820,14940,518121,14940,nan
2013年7月25日,14930,14940,14730,14780,415023,14780,nan
2013年7月26日,14540,14580,14310,14360,648323,14360,nan
2013年7月29日,14070,14150,13850,13850,683189,13850,nan
2013年7月30日,13820,14110,13810,14090,515097,14090,nan
2013年7月31日,13920,14020,13820,13860,509512,13860,nan
2013年8月1日,13840,14180,13820,14170,597959,14170,nan
2013年8月2日,14370,14660,14340,14650,658127,14650,nan
2013年8月5日,14500,14570,14410,14430,343488,14430,nan
2013年8月6日,14410,14600,14210,14590,534912,14590,nan
2013年8月7日,14290,14340,14030,14050,667262,14050,nan
2013年8月8日,14000,14240,13730,13790,783285,13790,nan
2013年8月9日,13850,13950,13710,13820,853305,13820,nan
2013年8月12日,13690,13850,13610,13710,501254,13710,nan
2013年8月13日,13910,14060,13880,14050,310955,14050,nan
2013年8月14日,14130,14250,13930,14230,389476,14230,nan
2013年8月15日,14020,14180,13900,13940,699314,13940,nan
2013年8月16日,13740,13940,13720,13850,522271,13850,nan
2013年8月19日,13830,13930,13770,13930,200170,13930,nan
2013年8月20日,13820,13920,13570,13580,641634,13580,nan
2013年8月21日,13620,13690,13430,13620,590614,13620,nan
2013年8月22日,13500,13640,13410,13550,726436,13550,nan
2013年8月23日,13810,13960,13770,13840,612472,13840,nan
2013年8月26日,13910,13930,13770,13810,216204,13810,nan
2013年8月27日,13740,13870,13690,13730,190981,13730,nan
2013年8月28日,13410,13590,13370,13550,712119,13550,nan
2013年8月29日,13580,13660,13550,13630,375318,13630,nan
2013年8月30日,13750,13820,13530,13590,551371,13590,nan
2013年9月2日,13630,13810,13600,13770,461940,13770,nan
2013年9月3日,13940,14180,13940,14160,761929,14160,nan
2013年9月4日,14070,14260,14020,14240,398442,14240,nan
2013年9月5日,14330,14370,14170,14240,501254,14240,nan
2013年9月6日,14280,14280,14020,14060,346052,14060,nan
2013年9月9日,14550,14560,14310,14390,893789,14390,nan
2013年9月10日,14510,14650,14480,14620,813795,14620,nan
2013年9月11日,14710,14770,14620,14630,682649,14630,nan
2013年9月12日,14600,14660,14520,14570,276842,14570,nan
2013年9月13日,14520,14640,14430,14590,512529,14590,nan
2013年9月17日,14660,14690,14520,14520,559772,14520,nan
2013年9月18日,14630,14840,14610,14690,682951,14690,nan
2013年9月19日,14890,14970,14780,14960,943424,14960,nan
2013年9月20日,14990,15020,14900,14980,676116,14980,nan
2013年9月24日,14830,14970,14810,14940,517124,14940,nan
2013年9月25日,14940,14960,14820,14820,407927,14820,nan
2013年9月26日,14790,15070,14680,15060,669254,15060,nan
2013年9月27日,15070,15090,14980,15020,408917,15020,nan
2013年9月30日,14770,14910,14700,14740,523686,14740,nan
2013年10月1日,14790,14940,14740,14750,449375,14750,nan
2013年10月2日,14740,14860,14380,14440,1010066,14440,nan
2013年10月3日,14420,14500,14360,14440,410849,14440,nan
2013年10月4日,14320,14420,14210,14320,536514,14320,nan
2013年10月7日,14320,14350,14110,14130,486441,14130,nan
2013年10月8日,14070,14200,14020,14170,539046,14170,nan
2013年10月9日,14050,14310,14030,14290,316468,14290,nan
2013年10月10日,14390,14470,14350,14470,270018,14470,nan
2013年10月11日,14590,14730,14570,14670,621197,14670,nan
2013年10月15日,14780,14800,14700,14710,401641,14710,nan
2013年10月16日,14720,14790,14700,14730,366006,14730,nan
2013年10月17日,14910,14950,14770,14850,570335,14850,nan
2013年10月18日,14860,14900,14780,14840,474994,14840,nan
2013年10月21日,14910,15030,14900,14970,387902,14970,nan
2013年10月22日,14960,15040,14920,15000,379800,15000,nan
2013年10月23日,15050,15070,14700,14710,720328,14710,nan
2013年10月24日,14640,14780,14540,14750,516142,14750,nan
2013年10月25日,14710,14720,14360,14380,781930,14380,nan
2013年10月28日,14530,14680,14460,14680,483557,14680,nan
2013年10月29日,14550,14680,14500,14620,372942,14620,nan
2013年10月30日,14750,14810,14700,14770,597328,14770,nan
2013年10月31日,14750,14810,14590,14610,462681,14610,nan
2013年11月1日,14690,14690,14390,14480,537666,14480,nan
2013年11月5日,14600,14600,14410,14490,435428,14490,nan
2013年11月6日,14420,14690,14410,14610,398476,14610,nan
2013年11月7日,14650,14660,14500,14510,295428,14510,nan
